0.000000 	 405500000.000000
96400.000000 	 405500000.000000
192800.000000 	 405499975.754552
289199.994236 	 405499927.263658
385599.976944 	 405499854.527322
481999.942361 	 405499757.545547
578399.884722 	 405499636.318340
674799.798264 	 405499490.845708
771199.677222 	 405499321.127658
867599.515833 	 405499127.164200
963999.308332 	 405498908.955345
1060399.048957 	 405498666.501103
1156798.731943 	 405498399.801489
1253198.351526 	 405498108.856516
1349597.901942 	 405497793.666200
1445997.377428 	 405497454.230557
1542396.772219 	 405497090.549606
1638796.080552 	 405496702.623364
1735195.296663 	 405496290.451853
1831594.414787 	 405495854.035093
1927993.429162 	 405495393.373108
2024392.334023 	 405494908.465921
2120791.123607 	 405494399.313558
2217189.792149 	 405493865.916044
2313588.333885 	 405493308.273407
2409986.743053 	 405492726.385677
2506385.013887 	 405492120.252882
2602783.140625 	 405491489.875054
2699181.117502 	 405490835.252225
2795578.938755 	 405490156.384429
2891976.598619 	 405489453.271700
2988374.091332 	 405488725.914075
3084771.411128 	 405487974.311591
3181168.552245 	 405487198.464286
3277565.508918 	 405486398.372199
3373962.275384 	 405485574.035372
3470358.845879 	 405484725.453847
3566755.214639 	 405483852.627666
3663151.375901 	 405482955.556875
3759547.323900 	 405482034.241519
3855943.052873 	 405481088.681645
3952338.557057 	 405480118.877300
4048733.830687 	 405479124.828535
4145128.867999 	 405478106.535399
4241523.663231 	 405477063.997945
4337918.210618 	 405475997.216225
4434312.504396 	 405474906.190294
4530706.538802 	 405473790.920207
4627100.308073 	 405472651.406020
4723493.806444 	 405471487.647791
4819887.028152 	 405470299.645580
4916279.967433 	 405469087.399446
5012672.618524 	 405467850.909451
5109064.975660 	 405466590.175658
5205457.033079 	 405465305.198130
5301848.785016 	 405463995.976932
5398240.225709 	 405462662.512131
5494631.349393 	 405461304.803793
5591022.150304 	 405459922.851989
5687412.622680 	 405458516.656788
5783802.760757 	 405457086.218260
5880192.558771 	 405455631.536478
5976582.010958 	 405454152.611516
6072971.111556 	 405452649.443449
6169359.854800 	 405451122.032351
6265748.234927 	 405449570.378302
6362136.246173 	 405447994.481378
6458523.882776 	 405446394.341660
6554911.138971 	 405444769.959227
6651298.008995 	 405443121.334164
6747684.487084 	 405441448.466551
6844070.567476 	 405439751.356475
6940456.244407 	 405438030.004020
7036841.512112 	 405436284.409274
7133226.364830 	 405434514.572324
7229610.796796 	 405432720.493260
7325994.802248 	 405430902.172173
7422378.375421 	 405429059.609153
7518761.510553 	 405427192.804294
7615144.201879 	 405425301.757690
7711526.443638 	 405423386.469437
7807908.230065 	 405421446.939630
7904289.555397 	 405419483.168369
8000670.413871 	 405417495.155750
8097050.799724 	 405415482.901876
8193430.707192 	 405413446.406847
8289810.130512 	 405411385.670766
8386189.063922 	 405409300.693736
8482567.501656 	 405407191.475863
8578945.437954 	 405405058.017253
8675322.867051 	 405402900.318013
8771699.783184 	 405400718.378253
8868076.180590 	 405398512.198081
8964452.053506 	 405396281.777609
9060827.396169 	 405394027.116950
9157202.202816 	 405391748.216216
9253576.467684 	 405389445.075523
9349950.185009 	 405387117.694986
9446323.349029 	 405384766.074723
9542695.953980 	 405382390.214852
9639067.994100 	 405379990.115492
9735439.463626 	 405377565.776765
9831810.356794 	 405375117.198792
9928180.667842 	 405372644.381696
10024550.391007 	 405370147.325603
10120919.520525 	 405367626.030637
10217288.050635 	 405365080.496925
10313655.975573 	 405362510.724596
10410023.289575 	 405359916.713778
10506389.986881 	 405357298.464602
10602756.061726 	 405354655.977201
10699121.508347 	 405351989.251706
10795486.320983 	 405349298.288252
10891850.493870 	 405346583.086974
10988214.021246 	 405343843.648008
11084576.897347 	 405341079.971494
11180939.116411 	 405338292.057568
11277300.672676 	 405335479.906372
11373661.560379 	 405332643.518047
11470021.773757 	 405329782.892735
11566381.307047 	 405326898.030581
11662740.154487 	 405323988.931729
11759098.310315 	 405321055.596326
11855455.768768 	 405318098.024518
11951812.524083 	 405315116.216455
12048168.570497 	 405312110.172286
12144523.902249 	 405309079.892163
12240878.513576 	 405306025.376238
12337232.398715 	 405302946.624664
12433585.551905 	 405299843.637596
12529937.967382 	 405296716.415190
12626289.639384 	 405293564.957603
12722640.562149 	 405290389.264994
12818990.729915 	 405287189.337521
12915340.136919 	 405283965.175346
13011688.777399 	 405280716.778630
13108036.645593 	 405277444.147538
13204383.735738 	 405274147.282232
13300730.042073 	 405270826.182880
13397075.558835 	 405267480.849647
13493420.280261 	 405264111.282701
13589764.200591 	 405260717.482213
13686107.314062 	 405257299.448352
13782449.614911 	 405253857.181290
13878791.097377 	 405250390.681200
13975131.755698 	 405246899.948256
14071471.584111 	 405243384.982633
14167810.576855 	 405239845.784508
14264148.728167 	 405236282.354058
14360486.032286 	 405232694.691463
14456822.483451 	 405229082.796903
14553158.075898 	 405225446.670558
14649492.803866 	 405221786.312612
14745826.661594 	 405218101.723248
14842159.643319 	 405214392.902652
14938491.743281 	 405210659.851009
15034822.955716 	 405206902.568507
15131153.274863 	 405203121.055335
15227482.694962 	 405199315.311682
15323811.210249 	 405195485.337739
15420138.814964 	 405191631.133699
15516465.503344 	 405187752.699755
15612791.269629 	 405183850.036102
15709116.108057 	 405179923.142936
15805440.012866 	 405175972.020454
15901762.978294 	 405171996.668853
15998084.998581 	 405167997.088335
16094406.067964 	 405163973.279099
16190726.180684 	 405159925.241347
16287045.330977 	 405155852.975283
16383363.513083 	 405151756.481111
16479680.721240 	 405147635.759036
16575996.949688 	 405143490.809266
16672312.192664 	 405139321.632008
16768626.444409 	 405135128.227472
